ST_CODE,PC_CODE,STATE,PC,NO,NAME,PARTY
S06,19,S06-Gujarat,19-Dahod,10,BHURA NAVALABHAI MANABHAI,Independent
S06,20,S06-Gujarat,20-Vadodara,1,NARENDRA MODI,Bharatiya Janata Party
S06,20,S06-Gujarat,20-Vadodara,2,MISTRI MADHUSUDAN DEVRAM,Indian National Congress
S06,20,S06-Gujarat,20-Vadodara,3,ROHIT MADHUSUDAN MOHANBHAI,Bahujan Samaj Party
S06,20,S06-Gujarat,20-Vadodara,4,JADAV AMBALAL KANABHAI,Janata Dal  (United)
S06,20,S06-Gujarat,20-Vadodara,5,TAPAN DASGUPTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S06,20,S06-Gujarat,20-Vadodara,6,PATHAN MAHEMUDKHAN RAZAKKHAN,Apna Desh Party
S06,20,S06-Gujarat,20-Vadodara,7,PATHAN SAHEBKHAN ASIFKHAN,Samajwadi Party
S06,20,S06-Gujarat,20-Vadodara,8,SUNIL DIGAMBAR KULKARNI,Aam Aadmi Party
S06,21,S06-Gujarat,21-Chhota Udaipur,1,NARANBHAI JEMALABHAI RATHVA,Indian National Congress
S06,21,S06-Gujarat,21-Chhota Udaipur,2,RAMSINH RATHWA,Bharatiya Janata Party
S06,21,S06-Gujarat,21-Chhota Udaipur,3,PROF. ARJUNBHAI VERSINGBHAI RATHVA,Aam Aadmi Party
S06,21,S06-Gujarat,21-Chhota Udaipur,4,VASAVA PRAFULBHAI DEVJIBHAI,Janata Dal  (United)
S06,22,S06-Gujarat,22-Bharuch,1,PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA),Indian National Congress
S06,22,S06-Gujarat,22-Bharuch,2,VASAVA MANSUKHBHAI DHANJIBHAI,Bharatiya Janata Party
S06,22,S06-Gujarat,22-Bharuch,3,SUKHRAMSINGH,Bahujan Samaj Party
S06,22,S06-Gujarat,22-Bharuch,4,ANILKUMAR CHHITUBHAI BHAGAT,Janata Dal  (United)
S06,22,S06-Gujarat,22-Bharuch,5,JAYENDRASINH RANA,Aam Aadmi Party
S06,22,S06-Gujarat,22-Bharuch,6,SAYYED ASIF ZAFAR ALI,Apna Desh Party
S06,22,S06-Gujarat,22-Bharuch,7,SAIYAD MOHSIN BAPU NANUMIYAWALA,Bahujan Mukti Party
S06,22,S06-Gujarat,22-Bharuch,8,ANANDKUMAR SARVARSINH VASAVA,Independent
S06,22,S06-Gujarat,22-Bharuch,9,NITIN ISHWARLAL VAKIL (ADVOCATE),Independent
S06,22,S06-Gujarat,22-Bharuch,10,BHURA SHABBIRBHAI VALIBHAI,Independent
S06,22,S06-Gujarat,22-Bharuch,11,RAFIKBHAI SULEMAN SAPA,Independent
S06,22,S06-Gujarat,22-Bharuch,12,VIRSANGBHAI PARBATBHAI GOHIL,Independent
S06,22,S06-Gujarat,22-Bharuch,13,SHAILESHKUMAR MAGANBHAI PARMAR,Independent
S06,22,S06-Gujarat,22-Bharuch,14,SINDHI MAYYUDEEN UMARBHAI,Independent
S06,23,S06-Gujarat,23-Bardoli,1,GAMIT MOVALIYABHAI NOPARIYABHAI,Bahujan Samaj Party
S06,23,S06-Gujarat,23-Bardoli,2,CHAUDHARI TUSHARBHAI AMARSINHBHAI,Indian National Congress
S06,23,S06-Gujarat,23-Bardoli,3,CHAUDHARI REVABEN SHANKARBHAI,Communist Party of India
S06,23,S06-Gujarat,23-Bardoli,4,VASAVA PARBHUBHAI NAGARBHAI,Bharatiya Janata Party
S06,23,S06-Gujarat,23-Bardoli,5,CHAUDHARI CHANDUBHAI MACHALABHAI,Aam Aadmi Party
S06,23,S06-Gujarat,23-Bardoli,6,CHAUDHARI RENIYABHAI SHANKARBHAI,Hindusthan Nirman Dal
S06,23,S06-Gujarat,23-Bardoli,7,JAGATSINH LALJIBHAI VASAVA,Janata Dal  (United)
S06,23,S06-Gujarat,23-Bardoli,8,BHAILALBHAI CHHANABHAI RATHOD,Aadivasi Sena Party
S06,23,S06-Gujarat,23-Bardoli,9,GAMIT SURENDRABHAI SIMABHAI,Independent
S06,23,S06-Gujarat,23-Bardoli,10,RATHOD RAMESHBHAI BHIKHABHAI,Independent
S06,24,S06-Gujarat,24-Surat,1,OMPRAKASH SHRIVASTAV,Bahujan Samaj Party
S06,24,S06-Gujarat,24-Surat,2,DARSHANA VIKRAM JARDOSH,Bharatiya Janata Party
S06,24,S06-Gujarat,24-Surat,3,DESAI NAISHADHBHAI BHUPATBHAI,Indian National Congress
S06,24,S06-Gujarat,24-Surat,4,KIRITBHAI HARJIBHAI VASANI,Yuva Sarkar
S06,24,S06-Gujarat,24-Surat,5,MOHANBHAI B. PATEL,Aam Aadmi Party
S06,24,S06-Gujarat,24-Surat,6,VASAVA KISHORBHAI CHHOTUBHAI,Janata Dal  (United)
S06,24,S06-Gujarat,24-Surat,7,MAVJIBHAI LAXMANBHAI SANDIS,Independent
S06,24,S06-Gujarat,24-Surat,8,MUKESHBHAI LAVJIBHAI AMBALIYA,Independent
S06,25,S06-Gujarat,25-Navsari,1,CHAUHAN KESAVBHAI MALABHAI (MASTER),Bahujan Samaj Party
S06,25,S06-Gujarat,25-Navsari,2,C. R. PATIL,Bharatiya Janata Party
S06,25,S06-Gujarat,25-Navsari,3,MAKSUD MIRZA,Indian National Congress
S06,25,S06-Gujarat,25-Navsari,4,ASLAM MISTRY,Bharatiya Bahujan Congress
S06,25,S06-Gujarat,25-Navsari,5,PATEL BHUPENDRAKUMAR DHIRUBHAI,Janata Dal  (United)
S06,25,S06-Gujarat,25-Navsari,6,PYARELAL BHARTI,Hindusthan Nirman Dal
S06,25,S06-Gujarat,25-Navsari,7,MEHUL PATEL,Aam Aadmi Party
S06,25,S06-Gujarat,25-Navsari,8,WARDE RAJUBHAI BHIMRAO,Bahujan Mukti Party
S06,25,S06-Gujarat,25-Navsari,9,SONAL KELLOGG,Voters Party
S06,25,S06-Gujarat,25-Navsari,10,ARUN S. PATHAK(JOURNALIST),Independent
S06,25,S06-Gujarat,25-Navsari,11,KESHAVJI L. SARADVA,Independent
S06,25,S06-Gujarat,25-Navsari,12,PERCY MUNSHI,Independent
S06,25,S06-Gujarat,25-Navsari,13,RAMJAN MANSURI(JOURNALIST),Independent
S06,25,S06-Gujarat,25-Navsari,14,RAVSHAHEB BHIMRAV PATIL (BANDHU),Independent
S06,25,S06-Gujarat,25-Navsari,15,ROHIT GANDHI,Independent
S06,25,S06-Gujarat,25-Navsari,16,LATABEN ASHOKKUMAR DWIVEDI,Independent
S06,25,S06-Gujarat,25-Navsari,17,VIMAL PATEL (ENDHAL),Independent
S06,25,S06-Gujarat,25-Navsari,18,SAIYED MEHMUD AHMED,Independent
S06,25,S06-Gujarat,25-Navsari,19,HASAN SHAIKH,Independent
S06,26,S06-Gujarat,26-Valsad,1,KISHANBHAI  VESTABHAI PATEL,Indian National Congress
S06,26,S06-Gujarat,26-Valsad,2,THAKRIYA RATILAL VAJIRBHAI,Bahujan Samaj Party
S06,26,S06-Gujarat,26-Valsad,3,DR. K.C.PATEL,Bharatiya Janata Party
S06,26,S06-Gujarat,26-Valsad,4,GAURANGBHAI RAMESHBHAI PATEL,Hindustan Janta Party
S06,26,S06-Gujarat,26-Valsad,5,TALAVIYA BABUBHAI CHHAGANBHAI,Bahujan Mukti Party
S06,26,S06-Gujarat,26-Valsad,6,PATEL GOVINDBHAI RANCHHODBHAI,Aam Aadmi Party
S06,26,S06-Gujarat,26-Valsad,7,PATEL SHAILESHBHAI GANDABHAI,Janata Dal  (United)
S06,26,S06-Gujarat,26-Valsad,8,DR.PANKAJKUMAR PARBHUBHAI PATEL,Aadivasi Sena Party
S06,26,S06-Gujarat,26-Valsad,9,VADIA LAXMANBHAI CHHAGANBHAI,Communist Party of India  (Marxist-Leninist)  (Liberation)
S06,26,S06-Gujarat,26-Valsad,10,PATEL BUDHABHAI RANCHHODBHAI,Independent
S07,1,S07-Haryana,1-Ambala,1,ARUN KUMAR,Communist Party of India
S07,1,S07-Haryana,1-Ambala,2,DR. KAPOOR SINGH,Bahujan Samaj Party
S07,1,S07-Haryana,1-Ambala,3,DR. KUSUM SHERWAL,Indian National Lok Dal
S07,1,S07-Haryana,1-Ambala,4,RATTAN LAL KATARIA,Bharatiya Janata Party
S07,1,S07-Haryana,1-Ambala,5,RAJ KUMAR BALMIKI,Indian National Congress
S07,1,S07-Haryana,1-Ambala,6,RAJENDER KUMAR BHATAULI,Bhartiya Shakti Chetna Party
S07,1,S07-Haryana,1-Ambala,7,RAM JAWARI,Rashtriya Karmyog Party
S07,1,S07-Haryana,1-Ambala,8,SURINDER PAL SINGH,Aam Aadmi Party
S07,1,S07-Haryana,1-Ambala,9,ISHWAR SINGH,Independent
S07,1,S07-Haryana,1-Ambala,10,GURNAM SINGH,Independent
S07,1,S07-Haryana,1-Ambala,11,PHOOL CHAND RATTUWALA,Independent
S07,1,S07-Haryana,1-Ambala,12,BHUPINDER KUMAR,Independent
S07,1,S07-Haryana,1-Ambala,13,BHURA RAM,Independent
S07,1,S07-Haryana,1-Ambala,14,RAMESH CHAND,Independent
S07,2,S07-Haryana,2-Kurukshetra,1,CHATTAR SINGH,Bahujan Samaj Party
S07,2,S07-Haryana,2-Kurukshetra,2,NAVEEN JINDAL,Indian National Congress
S07,2,S07-Haryana,2-Kurukshetra,3,BALBIR SINGH SAINI,Indian National Lok Dal
S07,2,S07-Haryana,2-Kurukshetra,4,RAJ KUMAR SAINI,Bharatiya Janata Party
S07,2,S07-Haryana,2-Kurukshetra,5,ASHWANI MALHOTRA,All India Trinamool Congress
S07,2,S07-Haryana,2-Kurukshetra,6,ONKAR SINGH,National Janhit Congress (AB)
S07,2,S07-Haryana,2-Kurukshetra,7,KANTA ALLARIA,Indian Bahujan Sandesh Party (Kanshiram)
S07,2,S07-Haryana,2-Kurukshetra,8,KIRAN PAL,Bharatiya Inqalab Party
S07,2,S07-Haryana,2-Kurukshetra,9,KULDEEP SINGH MALLHI,Republican Party of India
S07,2,S07-Haryana,2-Kurukshetra,10,GURMEET SINGH,Lok Dal
S07,2,S07-Haryana,2-Kurukshetra,11,BALWINDER KAUR,Aam Aadmi Party
S07,2,S07-Haryana,2-Kurukshetra,12,RAM KISHAN,Lok Parivartan Party(DC)
S07,2,S07-Haryana,2-Kurukshetra,13,RAMESHWAR KUMAR SAINI,Bhartiya Shakti Chetna Party
S07,2,S07-Haryana,2-Kurukshetra,14,ANIL KUMAR,Independent
S07,2,S07-Haryana,2-Kurukshetra,15,CHUNI MANOJ KUMAR,Independent
S07,2,S07-Haryana,2-Kurukshetra,16,JASVINDER JASHT BHUKHRI,Independent
S07,2,S07-Haryana,2-Kurukshetra,17,DAVINDER KUMAR,Independent
S07,2,S07-Haryana,2-Kurukshetra,18,MASTER DHARAMPAL DHIMAN BRAHAMAN,Independent
S07,2,S07-Haryana,2-Kurukshetra,19,RANBIR SINGH SHARMA,Independent
S07,2,S07-Haryana,2-Kurukshetra,20,RAJ KUMAR SAINI,Independent
S07,2,S07-Haryana,2-Kurukshetra,21,VISHNU BHAGWAN AGGARWAL,Independent
S07,2,S07-Haryana,2-Kurukshetra,22,CA. SATISH SINGAL,Independent
S07,3,S07-Haryana,3-Sirsa,1,ASHOK TANWAR,Indian National Congress
S07,3,S07-Haryana,3-Sirsa,2,CHARANJEET SINGH RORI,Indian National Lok Dal
S07,3,S07-Haryana,3-Sirsa,3,MANGERAM,Bahujan Samaj Party
S07,3,S07-Haryana,3-Sirsa,4,COMRADE RAM KUMAR,Communist Party of India  (Marxist)
S07,3,S07-Haryana,3-Sirsa,5,DR. SUSHIL INDORA,Haryana Janhit Congress (BL)
S07,3,S07-Haryana,3-Sirsa,6,POONAM CHAND RATTI,Aam Aadmi Party
S07,3,S07-Haryana,3-Sirsa,7,BALWANT SINGH,Bharatiya Sant Mat Party
S07,3,S07-Haryana,3-Sirsa,8,RAJ KUMAR NAGAR,Samajwadi Party
S07,3,S07-Haryana,3-Sirsa,9,SANJIV BHOJRAJ,VANCHITSAMAJ INSAAF PARTY
S07,3,S07-Haryana,3-Sirsa,10,HANSRAJ HANSA,Jan Morcha
S07,3,S07-Haryana,3-Sirsa,11,JAGDISH,Independent
S07,3,S07-Haryana,3-Sirsa,12,JAIPAL BHATTI,Independent
S07,3,S07-Haryana,3-Sirsa,13,FAKIR CHAND,Independent
S07,3,S07-Haryana,3-Sirsa,14,MANJEET SINGH,Independent
S07,3,S07-Haryana,3-Sirsa,15,MEWA SINGH,Independent
S07,3,S07-Haryana,3-Sirsa,16,RANVIR KHOBRA,Independent
S07,3,S07-Haryana,3-Sirsa,17,RAJBIR PALNA,Independent
S07,3,S07-Haryana,3-Sirsa,18,SURENDER KUMAR (URF) MENPAL PHOOLA,Independent
S07,4,S07-Haryana,4-Hisar,1,KULDEEP BISHNOI,Haryana Janhit Congress (BL)
S07,4,S07-Haryana,4-Hisar,2,DUSHYANT CHAUTALA,Indian National Lok Dal
S07,4,S07-Haryana,4-Hisar,3,PHUL SINGH,Communist Party of India  (Marxist)
S07,4,S07-Haryana,4-Hisar,4,MANGE RAM,Bahujan Samaj Party
S07,4,S07-Haryana,4-Hisar,5,SAMPAT SINGH,Indian National Congress
S07,4,S07-Haryana,4-Hisar,6,OM PARKASH,Bharatiya Sant Mat Party
S07,4,S07-Haryana,4-Hisar,7,KULDEEP SINGH S/O SHISHPAL,Bahujan Mukti Party
S07,4,S07-Haryana,4-Hisar,8,MAMTA RANI,"Rashtrawadi Parivartan Party (L.B,)"
S07,4,S07-Haryana,4-Hisar,9,DR. YUDHBIR SINGH KHYALIA,Aam Aadmi Party
S07,4,S07-Haryana,4-Hisar,10,ARUN KUMAR,Independent
S07,4,S07-Haryana,4-Hisar,11,ATAM PARKASH,Independent
S07,4,S07-Haryana,4-Hisar,12,UMED SINGH,Independent
S07,4,S07-Haryana,4-Hisar,13,KARTAR SINGH,Independent
S07,4,S07-Haryana,4-Hisar,14,KULDEEP S/O ISHWAR SINGH,Independent
S07,4,S07-Haryana,4-Hisar,15,KULDEEP S/O KARAN SINGH,Independent
S07,4,S07-Haryana,4-Hisar,16,KULDEEP S/O NARAIN SINGH,Independent
S07,4,S07-Haryana,4-Hisar,17,KULDEEP S/O PARDUMN,Independent
S07,4,S07-Haryana,4-Hisar,18,KULDEEP S/O MADAN LAL,Independent
S07,4,S07-Haryana,4-Hisar,19,KULDEEP S/O SAJJAN,Independent
S07,4,S07-Haryana,4-Hisar,20,NARINDER KUMAR,Independent
S07,4,S07-Haryana,4-Hisar,21,NARENDER,Independent
S07,4,S07-Haryana,4-Hisar,22,NARESH BATRA,Independent
S07,4,S07-Haryana,4-Hisar,23,BALJEET,Independent
S07,4,S07-Haryana,4-Hisar,24,BALWAN SINGH,Independent
S07,4,S07-Haryana,4-Hisar,25,YUDHVIR,Independent
S07,4,S07-Haryana,4-Hisar,26,RAKESH KUMAR (RINKU BHAI),Independent
S07,4,S07-Haryana,4-Hisar,27,RAJ KUMAR,Independent
S07,4,S07-Haryana,4-Hisar,28,RAJ SINGH,Independent
S07,4,S07-Haryana,4-Hisar,29,DR. RAJESH MAHENDIA,Independent
S07,4,S07-Haryana,4-Hisar,30,RAM PHAL,Independent
S07,4,S07-Haryana,4-Hisar,31,VIKAS,Independent
S07,4,S07-Haryana,4-Hisar,32,VIJAY KUMAR SHARMA,Independent
S07,4,S07-Haryana,4-Hisar,33,VISHNU KUMAR,Independent
S07,4,S07-Haryana,4-Hisar,34,SHIV KUMAR,Independent
S07,4,S07-Haryana,4-Hisar,35,SHRAVAN KUMAR ASIJA,Independent
S07,4,S07-Haryana,4-Hisar,36,SATBIR,Independent
S07,4,S07-Haryana,4-Hisar,37,SITA RAM,Independent
S07,4,S07-Haryana,4-Hisar,38,SUNDER,Independent
S07,4,S07-Haryana,4-Hisar,39,SUSHIL KAUSHIK,Independent
S07,4,S07-Haryana,4-Hisar,40,SUSHIL NIDHI,Independent
S07,4,S07-Haryana,4-Hisar,41,HANSRAJ,Independent
S07,5,S07-Haryana,5-Karnal,1,ARVIND KUMAR SHARMA,Indian National Congress
S07,5,S07-Haryana,5-Karnal,2,ASHWINI KUMAR,Bharatiya Janata Party
S07,5,S07-Haryana,5-Karnal,3,JASWINDER SINGH SANDHU,Indian National Lok Dal
S07,5,S07-Haryana,5-Karnal,4,MAM CHAND,Communist Party of India
S07,5,S07-Haryana,5-Karnal,5,MARATHA VIRENDER VERMA,Bahujan Samaj Party
S07,5,S07-Haryana,5-Karnal,6,ASHISH,All India Forward Bloc
S07,5,S07-Haryana,5-Karnal,7,KHATAB SINGH MOR,Bhartiya Shakti Chetna Party
S07,5,S07-Haryana,5-Karnal,8,DULI CHAND,Lok Parivartan Party(DC)
S07,5,S07-Haryana,5-Karnal,9,DEVENDER JAGLAN,Republican Party of India (A)
S07,5,S07-Haryana,5-Karnal,10,DAVINDER SHARMA,Rashtriya Karmyog Party
S07,5,S07-Haryana,5-Karnal,11,PARAMJIT SINGH,Aam Aadmi Party
S07,5,S07-Haryana,5-Karnal,12,PALE RAM KASHYAP,Rashtriya Janshakti Party(Eklavya)
S07,5,S07-Haryana,5-Karnal,13,PURAN SINGH PANWAR,Rashtravadi Janata Party
S07,5,S07-Haryana,5-Karnal,14,ARVIND TIWARI,Independent
S07,5,S07-Haryana,5-Karnal,15,KISMAT SHARMA,Independent
S07,5,S07-Haryana,5-Karnal,16,JAGDISH,Independent
S07,5,S07-Haryana,5-Karnal,17,JAGBIR SINGH RANA,Independent
S07,5,S07-Haryana,5-Karnal,18,MAHMOOD HASSAN,Independent
S07,5,S07-Haryana,5-Karnal,19,MAHINDER PAL,Independent
S07,5,S07-Haryana,5-Karnal,20,RAJESH KUMAR,Independent
S07,5,S07-Haryana,5-Karnal,21,RAMPHAL SHARMA,Independent
S07,5,S07-Haryana,5-Karnal,22,SHASHI SAINI,Independent
S07,5,S07-Haryana,5-Karnal,23,SAVITRI,Independent
S07,6,S07-Haryana,6-Sonipat,1,JAGBIR SINGH MALIK,Indian National Congress
S07,6,S07-Haryana,6-Sonipat,2,PADAM SINGH,Indian National Lok Dal
S07,6,S07-Haryana,6-Sonipat,3,RAMESH CHANDER,Bharatiya Janata Party
S07,6,S07-Haryana,6-Sonipat,4,SUMAN SINGH,Bahujan Samaj Party
S07,6,S07-Haryana,6-Sonipat,5,ANIL KUMAR,Rashtriya Bahujan Hitay Party
S07,6,S07-Haryana,6-Sonipat,6,ANUP SING DAHIYA,Rashtriya Jatigat Aarakshan Virodhi Party
S07,6,S07-Haryana,6-Sonipat,7,ASHOK KUMAR VASHISHTH,Republican Party of India (A)
S07,6,S07-Haryana,6-Sonipat,8,GULAB SINGH,Poorvanchal Rashtriya Congress
S07,6,S07-Haryana,6-Sonipat,9,JAI SINGH,Aam Aadmi Party
S07,6,S07-Haryana,6-Sonipat,10,DALBIR SINGH CHAHAL,Rashtravadi Janata Party
S07,6,S07-Haryana,6-Sonipat,11,HARI PARKASH COMRADE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S07,6,S07-Haryana,6-Sonipat,12,JAGBIR,Independent
S07,6,S07-Haryana,6-Sonipat,13,JASWANT,Independent
S07,6,S07-Haryana,6-Sonipat,14,PADAM SINGH,Independent
S07,6,S07-Haryana,6-Sonipat,15,BIJENDER KUMAR,Independent
S07,6,S07-Haryana,6-Sonipat,16,BHUPESHWAR DAYAL,Independent
S07,6,S07-Haryana,6-Sonipat,17,MANOJ KUMAR,Independent
S07,6,S07-Haryana,6-Sonipat,18,RAMESH,Independent
S07,6,S07-Haryana,6-Sonipat,19,SANJAY,Independent
S07,6,S07-Haryana,6-Sonipat,20,SANT DHARAMVIR CHOTIWALA,Independent
S07,6,S07-Haryana,6-Sonipat,21,SATYA NARAYAN,Independent
S07,6,S07-Haryana,6-Sonipat,22,SITENDER SINGH,Independent
S07,6,S07-Haryana,6-Sonipat,23,SUKHBIR SINGH,Independent
S07,7,S07-Haryana,7-Rohtak,1,OM PARKASH DHANKAR,Bharatiya Janata Party
S07,7,S07-Haryana,7-Rohtak,2,DEEPENDER SINGH HOODA,Indian National Congress
S07,7,S07-Haryana,7-Rohtak,3,MANOJ KUMAR,Bahujan Samaj Party
S07,7,S07-Haryana,7-Rohtak,4,SHAMSHER SINGH KHARKARA,Indian National Lok Dal
S07,7,S07-Haryana,7-Rohtak,5,ANIL,Rashtriya Bahujan Hitay Party
S07,7,S07-Haryana,7-Rohtak,6,JAI KARAN MANDAUTHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S07,7,S07-Haryana,7-Rohtak,7,NAVEEN JAIHIND,Aam Aadmi Party
S07,7,S07-Haryana,7-Rohtak,8,RAVINDER KUMAR,Indian Bahujan Sandesh Party (Kanshiram)
S07,7,S07-Haryana,7-Rohtak,9,SUNIL KUMAR,All India Trinamool Congress
S07,7,S07-Haryana,7-Rohtak,10,KARAN SINGH,Independent
S07,7,S07-Haryana,7-Rohtak,11,JAI SINGH,Independent
S07,7,S07-Haryana,7-Rohtak,12,VISHNU DUTT,Independent
S07,7,S07-Haryana,7-Rohtak,13,SAJJAN SINGH,Independent
S07,7,S07-Haryana,7-Rohtak,14,SATPAL,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,1,DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,2,BAHADUR SINGH,Indian National Lok Dal
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,3,VED PAL TANWAR,Bahujan Samaj Party
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,4,MASTER SHER SINGH,Communist Party of India  (Marxist)
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,5,SHRUTI CHOUDHRY,Indian National Congress
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,6,OMBIR,Lok Parivartan Party(DC)
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,7,NARESH KUMAR,Samajwadi Party
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,8,RAJIV,Bahujan Mukti Party
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,9,LALIT AGGARWAL,Aam Aadmi Party
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,10,LAL CHAND,Republican Backward Congress
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,11,SAMSER,National Loktantrik Party
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,12,CHITTER SINGH BALI,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,13,DHARAMBIR S/O BANWARI,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,14,DHARM BIR S/O HARI SINGH,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,15,DHARAMBIR SINGH,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,16,NARENDER PICHOPA-KHURD,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,17,PURAN MAL SHARMA,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,18,PARDEEP SINGH TANWAR,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,19,MAHAVIR SINGH,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,20,RAKESH KUMAR,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,21,VEDPARKASH BHARTIYA,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,22,SHER SINGH,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,23,SATPAL S/O LOKRAM,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,24,SATPAL S/O SUBE,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,25,SUKHBIR SINGH,Independent
S07,8,S07-Haryana,8-Bhiwani-Mahendragarh,26,SUDHIR CHANDWAS,Independent
S07,9,S07-Haryana,9-Gurgaon,1,INDERJIT SINGH RAO,Bharatiya Janata Party
S07,9,S07-Haryana,9-Gurgaon,2,ZAKIR HUSSAIN,Indian National Lok Dal
S07,9,S07-Haryana,9-Gurgaon,3,DHARAMPAL,Bahujan Samaj Party
S07,9,S07-Haryana,9-Gurgaon,4,RAO DHARAM PAL,Indian National Congress
S07,9,S07-Haryana,9-Gurgaon,5,AKBAR KASMI,Rashtriya Ulama Council
S07,9,S07-Haryana,9-Gurgaon,6,ASHOK BHARDWAJ,National Janhit Congress (AB)
S07,9,S07-Haryana,9-Gurgaon,7,UMED SINGH,RASHTRIYA MORCHA PARTY
S07,9,S07-Haryana,9-Gurgaon,8,YOGENDRA YADAV,Aam Aadmi Party
S07,9,S07-Haryana,9-Gurgaon,9,HEMANT KUMAR SAINI,Bahujan Mukti Party
S07,9,S07-Haryana,9-Gurgaon,10,ABDUL LATIF,Independent
S07,9,S07-Haryana,9-Gurgaon,11,AHSHAN ALI,Independent
S07,9,S07-Haryana,9-Gurgaon,12,USHA RANI VERMA,Independent
S07,9,S07-Haryana,9-Gurgaon,13,OMBIR SHARMA,Independent
S07,9,S07-Haryana,9-Gurgaon,14,KARAN SINGH JOURNALIST,Independent
S07,9,S07-Haryana,9-Gurgaon,15,KUSHESHWAR BHAGAT,Independent
S07,9,S07-Haryana,9-Gurgaon,16,FAUJI JAI KAWAR TYAGI DIXIT,Independent
S07,9,S07-Haryana,9-Gurgaon,17,MANOJ YADAV,Independent
S07,9,S07-Haryana,9-Gurgaon,18,MAHENDER JAT,Independent
S07,9,S07-Haryana,9-Gurgaon,19,MUL CHAND,Independent
S07,9,S07-Haryana,9-Gurgaon,20,RAJEEV YADAV,Independent
S07,9,S07-Haryana,9-Gurgaon,21,RAJESH,Independent
S07,9,S07-Haryana,9-Gurgaon,22,SURINDER KUMAR KHULLAR,Independent
S07,10,S07-Haryana,10-Faridabad,1,AVTAR SINGH BHADANA,Indian National Congress
S07,10,S07-Haryana,10-Faridabad,2,R K ANAND,Indian National Lok Dal
S07,10,S07-Haryana,10-Faridabad,3,KRISHAN PAL,Bharatiya Janata Party
S07,10,S07-Haryana,10-Faridabad,4,PT. RAJENDER SHARMA,Bahujan Samaj Party
S07,10,S07-Haryana,10-Faridabad,5,ADVOCATE KAMAL CHAND ARYA,Bahujan Mukti Party
S07,10,S07-Haryana,10-Faridabad,6,KUSUM KUMARI,All India Peoples' Front (Radical)
S07,10,S07-Haryana,10-Faridabad,7,KHUSH DIL SEHGAL (KAPOOR),Akhil Bharatiya Hind Kranti Party
S07,10,S07-Haryana,10-Faridabad,8,KHEME THAKUR,Samajwadi Party
S07,10,S07-Haryana,10-Faridabad,9,CHAUDHARY DAYA CHAND,Bhartiya Shakti Chetna Party
S07,10,S07-Haryana,10-Faridabad,10,DEEPAK GAUR,AARAKSHAN VIRODHI PARTY
S07,10,S07-Haryana,10-Faridabad,11,NIRMALA,Janata Dal  (United)
S07,10,S07-Haryana,10-Faridabad,12,PURSHOTAM DAGAR,Aam Aadmi Party
S07,10,S07-Haryana,10-Faridabad,13,MOHD. MUKIM,National Loktantrik Party
S07,10,S07-Haryana,10-Faridabad,14,RAVINDER BHATI,Akhil Bharat Hindu Mahasabha
S07,10,S07-Haryana,10-Faridabad,15,SUKHVEER,Rashtriya Bahujan Congress Party
S07,10,S07-Haryana,10-Faridabad,16,HAMID KHAN,Hindustan Kranti Dal
S07,10,S07-Haryana,10-Faridabad,17,DR. KSHETRA PAL SINGH,Independent
S07,10,S07-Haryana,10-Faridabad,18,AHERWAN DHARMENDER RAWAT,Independent
S07,10,S07-Haryana,10-Faridabad,19,NANAK CHAND,Independent
S07,10,S07-Haryana,10-Faridabad,20,MANDHEER SINGH MAAN,Independent
S07,10,S07-Haryana,10-Faridabad,21,MUKESH KUMAR SINGH,Independent
